price,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,sold_year,sold_month
1895000,Eastlakes,2,3,2,334,House,6912,25740,2.003,-33.93108,151.21145,18,0.1,220.1,7.32,2021.0,9.0
665000,Blue Haven,2,4,2,575,House,6378,29796,2.525,-33.21142,151.50349,13,1.5,174.0,77.47,2017.0,9.0
1775000,Belrose,1,3,2,712,House,8780,39728,13.636,-33.72159,151.21169,156,0.1,183.1,15.92,2021.0,2.0
2125000,Croydon,2,4,5,645,House,10612,34996,2.435,-33.88062,151.1169,28,1.28,159.0,8.77,2019.0,6.0
1350000,Cabarita,2,3,2,177,Apartment / Unit / Flat,1957,52988,0.499,-33.84744,151.11635,10,1.28,159.0,8.88,2019.0,6.0
1890000,Huntleys Cove,2,2,2,353,Apartment / Unit / Flat,750,56940,0.274,-33.8375,151.13912,9,0.1,210.1,7.23,2021.0,8.0
1570000,Ermington,2,4,2,328,House,10737,33644,4.135,-33.8105,151.06162,40,0.1,220.1,15.0,2021.0,12.0
2250000,Wahroonga,3,4,2,940,House,17371,47424,9.766,-33.72353,151.11725,194,0.75,166.4,17.9,2019.0,11.0
2750000,Collaroy Plateau,2,4,2,423,House,4767,45500,1.22,-33.73128,151.28955,96,0.1,197.9,16.58,2021.0,5.0
3400000,Monterey,3,5,4,673,House,4532,37232,1.152,-33.97235,151.14822,5,0.1,220.1,13.19,2021.0,11.0
2810000,Ryde,1,3,1,727,House,26499,39312,7.096,-33.8078,151.11399,58,0.1,220.1,10.92,2021.0,11.0
1165000,Mount Colah,3,4,2,750,House,7095,43056,11.062,-33.66638,151.12988,117,1.5,153.5,23.26,2019.0,4.0
1000000,Chipping Norton,3,4,2,669,House,9001,35880,7.133,-33.91492,150.95681,9,1.75,159.3,24.05,2016.0,7.0
1050000,Sans Souci,2,3,2,155,Apartment / Unit / Flat,10304,37336,3.065,-33.99452,151.13524,3,0.1,220.1,15.92,2021.0,10.0
3170000,Avalon Beach,2,4,2,917,House,9905,43628,5.131,-33.62899,151.32686,46,0.1,220.1,28.35,2021.0,11.0
1200000,Revesby,2,4,2,263,Townhouse,14176,31616,5.608,-33.94767,151.01233,14,0.1,220.1,20.44,2021.0,11.0
1460000,East Hills,2,4,3,750,House,3206,34268,1.427,-33.96119,150.98818,9,0.1,220.1,23.11,2021.0,10.0
1800000,Yellow Rock,2,5,4,3694,House,1029,41652,18.81,-33.69332,150.62904,249,0.1,220.1,57.08,2021.0,11.0
485000,Gorokan,2,4,1,467,House,8367,26468,3.087,-33.25377,151.50567,14,1.5,176.6,73.16,2017.0,4.0
3530000,Randwick,3,4,2,357,House,29986,57460,5.308,-33.91839,151.24013,68,0.1,220.1,6.53,2021.0,10.0
2000000,Oatlands,3,4,2,1226,House,5660,36660,2.462,-33.79508,151.02527,54,0.1,183.1,18.77,2020.0,12.0
2835000,Castle Hill,2,4,2,889,House,39594,40924,18.81,-33.72933,150.99777,112,0.1,220.1,24.76,2021.0,12.0
700000,Toukley,1,3,1,582,House,4550,25844,3.683,-33.25799,151.54324,4,1.5,174.2,74.11,2017.0,7.0
1922000,Bexley,2,3,2,775,House,19733,31512,4.366,-33.95213,151.1183,50,0.1,183.1,12.84,2021.0,2.0
1205562,Sydenham,2,2,0,110,House,1145,38844,0.27,-33.91673,151.16817,8,0.1,197.9,6.9,2021.0,4.0
360000,Lakemba,1,2,1,88,Apartment / Unit / Flat,17023,22204,2.187,-33.91825,151.07547,33,1.5,169.8,13.76,2018.0,4.0
2350000,Sandringham,4,4,0,588,House,1238,39728,0.495,-33.99813,151.14125,3,0.1,210.1,16.06,2021.0,8.0
2100000,Ashfield,1,3,2,468,House,23841,35412,3.414,-33.88947,151.12753,38,0.1,210.1,8.08,2021.0,6.0
1315000,Belfield,3,3,2,236,Semi-Detached,6322,28496,1.783,-33.90421,151.08616,22,0.1,220.1,12.24,2021.0,9.0
1450000,Chatswood West,1,3,2,871,House,1499,44876,0.81,-33.79604,151.16039,31,1.5,176.6,8.93,2017.0,5.0
1212579,Werrington,3,5,2,697,House,4031,33436,4.508,-33.75876,150.75061,31,0.1,220.1,44.13,2021.0,10.0
2250000,Eastwood,1,3,1,575,House,17865,30368,5.194,-33.78849,151.08514,75,0.1,220.1,14.34,2021.0,11.0
5050000,Oatlands,6,6,6,980,House,5660,36660,2.462,-33.79508,151.02527,54,0.1,210.1,18.77,2021.0,6.0
2190000,Earlwood,3,4,2,350,House,17741,35412,5.609,-33.92492,151.13127,33,0.1,220.1,9.84,2021.0,10.0
1000000,Springwood,4,6,2,796,House,8475,37544,19.395,-33.69209,150.57478,370,0.1,210.1,61.88,2021.0,8.0
795000,St Clair,2,4,1,629,House,19897,38896,7.204,-33.79794,150.78794,59,0.1,183.1,39.76,2020.0,12.0
2520000,Narraweena,2,3,2,594,House,6608,34008,1.776,-33.75,151.27239,83,0.1,220.1,14.02,2021.0,9.0
1072000,Bligh Park,2,6,1,707,House,6366,41288,2.115,-33.63844,150.80041,22,0.1,220.1,45.52,2021.0,11.0
1178000,Beaumont Hills,2,4,2,740,House,9042,46488,3.19,-33.69788,150.94161,67,1.5,176.6,31.01,2017.0,12.0
3350000,Blakehurst,5,5,2,550,House,6219,37700,2.313,-33.99061,151.10947,37,1.5,174.0,16.73,2017.0,11.0
891000,Greenacre,1,3,2,505,House,24373,22672,7.405,-33.8989,151.05729,37,1.5,172.7,14.61,2016.0,10.0
1015000,Camden South,1,3,2,735,House,4539,39832,4.236,-34.08232,150.70072,82,0.1,220.1,52.86,2021.0,10.0
1350000,Beaumont Hills,2,5,2,660,House,9042,46488,3.19,-33.69788,150.94161,67,0.75,169.6,31.01,2020.0,1.0
905000,Panania,2,4,1,278,Duplex,12419,34216,4.751,-33.95493,150.99524,18,2.0,150.9,22.21,2016.0,2.0
1852500,Church Point,3,4,2,696,House,997,54132,0.721,-33.65154,151.28137,73,0.1,183.1,24.6,2021.0,11.0
1620000,Clareville,2,5,0,696,House,742,57148,0.504,-33.63655,151.31075,50,1.5,174.2,27.02,2017.0,7.0
1560000,Campsie,1,3,2,512,House,24541,25272,3.373,-33.91457,151.10339,35,0.1,197.9,11.28,2021.0,3.0
1900000,Beacon Hill,2,3,2,695,House,7457,41288,2.605,-33.75228,151.25889,119,0.1,210.1,13.32,2021.0,12.0
1070000,Petersham,2,2,1,107,Apartment / Unit / Flat,8116,52884,1.287,-33.89452,151.1556,41,0.1,210.1,5.99,2021.0,7.0
745000,Claremont Meadows,2,4,2,364,House,4776,41704,3.04,-33.7743,150.75296,43,1.5,172.7,43.49,2017.0,2.0
1700000,Seaforth,2,5,2,632,House,7139,55224,3.108,-33.79114,151.2431,86,0.75,169.6,8.76,2020.0,2.0
1100000,Ingleburn,3,5,2,670,House,15039,33124,12.454,-34.0051,150.8581,41,0.1,210.1,36.04,2021.0,6.0
3015000,Rodd Point,1,3,1,480,House,1376,44876,0.374,-33.86584,151.14375,10,0.1,197.9,6.12,2021.0,4.0
1828000,Castle Hill,2,5,3,970,House,39594,40924,18.81,-33.72933,150.99777,112,0.1,183.1,24.76,2020.0,12.0
1550000,Darlinghurst,2,2,1,96,Apartment / Unit / Flat,11320,66820,0.857,-33.8794,151.22078,50,0.1,220.1,1.87,2021.0,9.0
3500500,East Hills,4,5,2,1435,House,3206,34268,1.427,-33.96119,150.98818,9,0.1,220.1,23.11,2021.0,10.0
3250000,Erskineville,3,4,2,226,House,8014,71812,0.808,-33.90226,151.18621,14,0.1,183.1,4.66,2021.0,2.0
780000,Marsden Park,2,4,2,430,House,1008,32500,23.354,-33.69979,150.81845,36,1.5,153.5,40.63,2019.0,5.0
1425000,Jannali,1,3,2,626,House,6184,40560,2.496,-34.01586,151.06319,76,0.1,220.1,21.53,2021.0,10.0
690000,Narara,2,4,2,657,House,7934,34632,8.242,-33.39553,151.33681,10,0.25,167.6,53.4,2020.0,7.0
1180000,Sans Souci,1,2,1,140,Villa,10304,37336,3.065,-33.99452,151.13524,3,0.1,220.1,15.92,2021.0,9.0
1750000,Wheeler Heights,3,4,2,575,House,2986,42848,0.852,-33.72851,151.28144,72,0.11,172.6,16.54,2020.0,11.0
1000000,Elderslie,2,3,2,496,House,6005,43160,5.041,-34.0577,150.71508,86,0.1,210.1,50.48,2021.0,7.0
1240000,Mount Druitt,6,9,6,1012,House,16726,26000,6.256,-33.76791,150.8136,48,1.02,159.0,38.24,2019.0,7.0
1680000,Voyager Point,3,6,3,561,House,1668,51376,1.73,-33.95835,150.97397,5,0.1,197.9,24.14,2021.0,5.0
600000,Gorokan,1,3,1,620,House,8367,26468,3.087,-33.25377,151.50567,14,0.1,183.1,73.16,2021.0,10.0
1170000,Moorebank,1,3,2,677,House,9747,38792,12.516,-33.94248,150.94138,15,0.1,220.1,26.27,2021.0,10.0
1650000,Oyster Bay,2,4,4,607,House,5488,47736,2.101,-34.0069,151.08096,11,0.1,220.1,19.73,2021.0,9.0
1295000,Hornsby,3,5,2,860,House,22168,38792,8.386,-33.69724,151.10055,187,0.25,167.6,21.2,2020.0,7.0
1820000,Hurlstone Park,1,3,1,487,House,4692,39624,1.201,-33.91005,151.12854,28,0.11,172.6,9.03,2020.0,12.0
1835000,Lane Cove North,1,3,2,557,House,11436,57408,2.363,-33.8057,151.16111,56,0.1,183.1,7.99,2020.0,12.0
1095000,Davistown,2,4,3,714,Duplex,2488,31668,1.61,-33.4847,151.36192,2,0.1,220.1,44.49,2021.0,11.0
1025000,Chittaway Point,4,3,2,986,House,941,34320,1.624,-33.32251,151.44816,5,0.75,169.6,64.12,2020.0,2.0
1205000,Old Toongabbie,2,4,1,601,House,3133,38012,1.274,-33.79058,150.97046,41,0.1,197.9,23.66,2021.0,5.0
940000,Rydalmere,2,3,4,569,House,6642,33540,3.8,-33.81378,151.03784,13,1.0,159.0,16.91,2019.0,8.0
1120000,Belmore,2,3,3,568,House,12718,26208,2.731,-33.91942,151.08774,32,0.25,167.6,12.8,2020.0,6.0
1165000,Macquarie Links,3,4,4,600,House,1360,47372,1.772,-33.97953,150.87193,45,0.1,220.1,33.73,2021.0,9.0
